Fecha,Hora,Precio
2021-08-21,13,"131,55"
2021-08-21,14,"132,50"
2021-08-21,15,"127,71"
2021-08-21,16,"118,51"
2021-08-21,17,"118,17"
2021-08-21,18,"122,63"
2021-08-21,19,"137,04"
2021-08-21,20,"145,69"
2021-08-21,21,"152,70"
2021-08-21,22,"157,69"
2021-08-21,23,"153,83"
2021-08-21,24,"150,50"
2021-08-22,01,"143,69"
2021-08-22,02,"142,28"
2021-08-22,03,"138,93"
2021-08-22,04,"141,96"
2021-08-22,05,"138,55"
2021-08-22,06,"134,54"
2021-08-22,07,"140,36"
2021-08-22,08,"140,96"
2021-08-22,09,"139,47"
2021-08-22,10,"131,17"
2021-08-22,11,"118,56"
2021-08-22,12,"118,28"
2021-08-22,13,"127,85"
2021-08-22,14,"137,48"
2021-08-22,15,"137,34"
2021-08-22,16,"115,76"
2021-08-22,17,"115,72"
2021-08-22,18,"115,84"
2021-08-22,19,"116,10"
2021-08-22,20,"124,36"
2021-08-22,21,"134,27"
2021-08-22,22,"142,95"
2021-08-22,23,"141,69"
2021-08-22,24,"123,79"
2021-08-23,01,"122,57"
2021-08-23,02,"120,07"
2021-08-23,03,"119,86"
2021-08-23,04,"119,95"
2021-08-23,05,"119,98"
2021-08-23,06,"120,02"
2021-08-23,07,"124,38"
2021-08-23,08,"143,25"
2021-08-23,09,"180,44"
2021-08-23,10,"177,57"
2021-08-23,11,"262,94"
2021-08-23,12,"258,71"
2021-08-23,13,"254,46"
2021-08-23,14,"247,92"
2021-08-23,15,"157,30"
2021-08-23,16,"155,85"
2021-08-23,17,"152,36"
2021-08-23,18,"157,18"
2021-08-23,19,"262,90"
2021-08-23,20,"275,54"
2021-08-23,21,"276,67"
2021-08-23,22,"278,70"
2021-08-23,23,"183,87"
2021-08-23,24,"169,49"
2021-08-24,01,"115,40"
2021-08-24,02,"114,85"
2021-08-24,03,"114,34"
2021-08-24,04,"114,26"
2021-08-24,05,"113,87"
2021-08-24,06,"115,75"
2021-08-24,07,"117,67"
2021-08-24,08,"120,13"
2021-08-24,09,"175,50"
2021-08-24,10,"170,15"
2021-08-24,11,"256,65"
2021-08-24,12,"251,43"
2021-08-24,13,"246,50"
2021-08-24,14,"254,87"
2021-08-24,15,"175,53"
2021-08-24,16,"176,01"
2021-08-24,17,"178,65"
2021-08-24,18,"178,92"
2021-08-24,19,"271,92"
2021-08-24,20,"275,94"
2021-08-24,21,"281,69"
2021-08-24,22,"283,79"
2021-08-24,23,"189,20"
2021-08-24,24,"186,42"
2021-08-25,01,"145,67"
2021-08-25,02,"141,04"
2021-08-25,03,"138,80"
2021-08-25,04,"136,30"
2021-08-25,05,"138,64"
2021-08-25,06,"145,41"
2021-08-25,07,"149,79"
2021-08-25,08,"148,23"
2021-08-25,09,"183,12"
2021-08-25,10,"182,25"
2021-08-25,11,"273,72"
2021-08-25,12,"272,87"
2021-08-25,13,"273,33"
2021-08-25,14,"273,67"
2021-08-25,15,"181,01"
2021-08-25,16,"180,63"
2021-08-25,17,"180,70"
2021-08-25,18,"180,93"
2021-08-25,19,"276,01"
2021-08-25,20,"279,43"
2021-08-25,21,"286,51"
2021-08-25,22,"292,67"
2021-08-25,23,"193,71"
2021-08-25,24,"188,54"
2021-08-26,01,"156,30"
2021-08-26,02,"155,50"
2021-08-26,03,"154,30"
2021-08-26,04,"152,73"
2021-08-26,05,"152,48"
2021-08-26,06,"153,18"
2021-08-26,07,"154,97"
2021-08-26,08,"154,04"
2021-08-26,09,"189,56"
2021-08-26,10,"187,85"
2021-08-26,11,"279,82"
2021-08-26,12,"277,06"
2021-08-26,13,"277,82"
2021-08-26,14,"279,86"
2021-08-26,15,"188,00"
2021-08-26,16,"185,30"
2021-08-26,17,"186,24"
2021-08-26,18,"185,76"
2021-08-26,19,"280,45"
2021-08-26,20,"285,20"
2021-08-26,21,"288,06"
2021-08-26,22,"292,72"
2021-08-26,23,"197,59"
2021-08-26,24,"192,39"
2021-08-27,01,"158,11"
2021-08-27,02,"156,07"
2021-08-27,03,"154,24"
2021-08-27,04,"152,92"
2021-08-27,05,"152,43"
2021-08-27,06,"151,81"
2021-08-27,07,"152,71"
2021-08-27,08,"152,29"
2021-08-27,09,"187,68"
2021-08-27,10,"185,88"
2021-08-27,11,"277,26"
2021-08-27,12,"277,20"
2021-08-27,13,"278,17"
2021-08-27,14,"277,81"
2021-08-27,15,"184,18"
2021-08-27,16,"169,84"
2021-08-27,17,"171,69"
2021-08-27,18,"169,38"
2021-08-27,19,"265,76"
2021-08-27,20,"281,34"
2021-08-27,21,"286,15"
