,Hora,Consumo,Método de obtención
687,16,0.198,Real
688,17,0.175,Real
689,18,0.104,Real
690,19,0.324,Real
691,20,0.416,Real
692,21,0.342,Real
693,22,0.206,Real
694,23,0.223,Real
695,24,0.382,Real
696,1,0.311,Real
697,2,0.066,Real
698,3,0.073,Real
699,4,0.072,Real
700,5,0.069,Real
701,6,0.075,Real
702,7,0.126,Real
703,8,0.175,Real
704,9,0.137,Real
705,10,0.182,Real
706,11,0.226,Real
707,12,0.208,Real
708,13,0.234,Real
709,14,0.183,Real
710,15,0.215,Real
711,16,0.223,Real
712,17,0.234,Real
713,18,0.372,Real
714,19,0.353,Real
715,20,0.214,Real
716,21,0.206,Real
717,22,0.212,Real
718,23,0.219,Real
719,24,0.213,Real
720,1,0.178,Real
721,2,0.127,Real
722,3,0.083,Real
723,4,0.072,Real
724,5,0.085,Real
725,6,0.084,Real
726,7,0.072,Real
727,8,0.079,Real
728,9,0.159,Real
729,10,0.21,Real
730,11,0.255,Real
731,12,0.2,Real
732,13,0.201,Real
733,14,0.211,Real
734,15,0.2,Real
735,16,0.207,Real
736,17,0.25,Real
737,18,0.171,Real
738,19,0.165,Real
739,20,0.204,Real
740,21,0.297,Real
741,22,0.224,Real
742,23,0.228,Real
743,24,0.255,Real
744,1,0.262,Real
745,2,0.388,Real
746,3,0.116,Real
747,4,0.454,Real
748,5,0.078,Real
749,6,0.078,Real
750,7,0.078,Real
751,8,0.086,Real
752,9,0.295,Real
753,10,0.276,Real
754,11,0.232,Real
755,12,0.204,Real
756,13,0.212,Real
757,14,0.204,Real
758,15,0.215,Real
759,16,0.227,Real
760,17,0.272,Real
761,18,0.325,Real
762,19,0.226,Real
763,20,0.07,Real
764,21,0.075,Real
765,22,0.078,Real
766,23,0.077,Real
767,24,0.079,Real
768,1,0.107,Real
769,2,0.084,Real
770,3,0.084,Real
771,4,0.066,Real
772,5,0.08,Real
773,6,0.079,Real
774,7,0.074,Real
775,8,0.135,Real
776,9,0.074,Real
777,10,0.08,Real
778,11,0.218,Real
779,12,0.287,Real
780,13,0.238,Real
781,14,0.217,Real
782,15,0.262,Real
783,16,0.2,Real
784,17,0.097,Real
785,18,0.076,Real
786,19,0.077,Real
787,20,0.077,Real
788,21,0.076,Real
789,22,0.075,Real
790,23,0.075,Real
791,24,0.093,Real
792,1,0.227,Real
793,2,0.149,Real
794,3,0.087,Real
795,4,0.066,Real
796,5,0.083,Real
797,6,0.074,Real
798,7,0.072,Real
799,8,0.081,Real
800,9,0.067,Real
801,10,0.082,Real
802,11,0.2,Real
803,12,0.215,Real
804,13,0.085,Real
805,14,0.07,Real
806,15,0.101,Real
807,16,0.081,Real
808,17,0.126,Real
809,18,0.093,Real
810,19,0.077,Real
811,20,0.07,Real
812,21,0.079,Real
813,22,0.077,Real
814,23,0.076,Real
815,24,0.078,Real
816,1,0.088,Real
817,2,0.077,Real
818,3,0.078,Real
819,4,0.074,Real
820,5,0.08,Real
821,6,0.068,Real
822,7,0.074,Real
823,8,0.078,Real
824,9,0.154,Real
825,10,0.122,Real
826,11,0.208,Real
827,12,0.23,Real
828,13,0.132,Real
829,14,0.165,Real
830,15,0.317,Real
831,16,0.151,Real
832,17,0.216,Real
833,18,0.191,Real
834,19,0.087,Real
835,20,0.081,Real
836,21,0.08,Real
837,22,0.09,Real
838,23,0.122,Real
839,24,0.217,Real
840,1,0.202,Real
841,2,0.088,Real
842,3,0.081,Real
843,4,0.076,Real
844,5,0.083,Real
845,6,0.078,Real
846,7,0.074,Real
847,8,0.073,Real
848,9,0.154,Real
849,10,0.122,Real
850,11,0.155,Real
851,12,0.194,Real
852,13,0.218,Real
853,14,0.227,Real
854,15,0.158,Real
855,16,0.151,Real
856,17,0.263,Real
857,18,0.206,Real
858,19,0.307,Real
859,20,0.199,Real
860,21,0.243,Real
861,22,0.538,Real
862,23,0.579,Real
863,24,0.326,Real
864,1,0.187,Real
865,2,0.392,Real
866,3,0.102,Real
867,4,0.493,Real
868,5,0.069,Real
869,6,0.081,Real
870,7,0.077,Real
871,8,0.071,Real
872,9,0.16,Real
873,10,0.2,Real
874,11,0.191,Real
875,12,0.208,Real
876,13,0.2,Real
877,14,0.198,Real
878,15,0.185,Real
879,16,0.181,Real
880,17,0.233,Real
881,18,0.311,Real
882,19,0.313,Real
883,20,0.297,Real
884,21,0.216,Real
885,22,0.201,Real
886,23,0.726,Real
887,24,0.209,Real
888,1,0.094,Real
889,2,0.086,Real
890,3,0.077,Real
891,4,0.074,Real
892,5,0.072,Real
893,6,0.077,Real
894,7,0.137,Real
895,8,0.084,Real
896,9,0.148,Real
897,10,0.134,Real
898,11,0.17,Real
899,12,0.218,Real
900,13,0.179,Real
901,14,0.182,Real
902,15,0.923,Real
903,16,0.154,Real
904,17,0.227,Real
905,18,0.377,Real
906,19,0.409,Real
907,20,0.393,Real
908,21,0.079,Real
909,22,0.21,Real
910,23,0.244,Real
911,24,0.154,Real
912,1,0.102,Real
913,2,0.069,Real
914,3,0.087,Real
915,4,0.067,Real
916,5,0.083,Real
917,6,0.072,Real
918,7,0.094,Real
919,8,0.079,Real
920,9,0.143,Real
921,10,0.15,Real
922,11,0.225,Real
923,12,0.229,Real
924,13,0.173,Real
925,14,0.218,Real
926,15,0.156,Real
927,16,0.167,Real
928,17,0.262,Real
929,18,0.326,Real
930,19,0.232,Real
931,20,0.22,Real
932,21,0.314,Real
933,22,0.517,Real
934,23,0.408,Real
935,24,0.408,Real
936,1,0.389,Real
937,2,0.405,Real
938,3,0.496,Real
939,4,0.126,Real
940,5,0.467,Real
941,6,0.131,Real
942,7,0.093,Real
943,8,0.073,Real
944,9,0.083,Real
945,10,0.064,Real
946,11,0.166,Real
947,12,0.143,Real
948,13,0.082,Real
949,14,0.067,Real
950,15,0.078,Real
951,16,0.07,Real
952,17,0.074,Real
953,18,0.074,Real
954,19,0.168,Real
955,20,0.254,Real
956,21,0.316,Real
957,22,0.407,Real
958,23,0.395,Real
959,24,0.41,Real
960,1,0.387,Real
961,2,0.397,Real
962,3,0.177,Real
963,4,0.081,Real
964,5,0.083,Real
965,6,0.083,Real
966,7,0.081,Real
967,8,0.076,Real
968,9,0.072,Real
969,10,0.077,Real
970,11,0.232,Real
971,12,0.221,Real
972,13,0.078,Real
973,14,0.083,Real
974,15,0.08,Real
975,16,0.067,Real
976,17,0.08,Real
977,18,0.08,Real
978,19,0.139,Real
979,20,0.073,Real
980,21,0.079,Real
981,22,0.071,Real
982,23,0.076,Real
983,24,0.076,Real
984,1,0.095,Real
985,2,0.091,Real
986,3,0.072,Real
987,4,0.072,Real
988,5,0.071,Real
989,6,0.075,Real
990,7,0.075,Real
991,8,0.076,Real
992,9,0.151,Real
993,10,0.129,Real
994,11,0.214,Real
995,12,0.176,Real
996,13,0.195,Real
997,14,0.182,Real
998,15,0.197,Real
999,16,0.179,Real
1000,17,0.24,Real
1001,18,0.152,Real
1002,19,0.148,Real
1003,20,0.26,Real
1004,21,0.223,Real
1005,22,0.415,Real
1006,23,0.416,Real
1007,24,0.401,Real
1008,1,0.24,Real
1009,2,0.082,Real
1010,3,0.071,Real
1011,4,0.142,Real
1012,5,0.076,Real
1013,6,0.076,Real
1014,7,0.074,Real
1015,8,0.074,Real
1016,9,0.147,Real
1017,10,0.118,Real
1018,11,0.165,Real
1019,12,0.168,Real
1020,13,0.209,Real
1021,14,0.206,Real
1022,15,0.142,Real
1023,16,0.164,Real
1024,17,0.223,Real
1025,18,0.119,Real
1026,19,0.216,Real
1027,20,0.329,Real
1028,21,0.253,Real
1029,22,0.273,Real
1030,23,0.41,Real
1031,24,0.9,Real
1032,1,0.195,Real
1033,2,0.095,Real
1034,3,0.073,Real
1035,4,0.079,Real
1036,5,0.08,Real
1037,6,0.072,Real
1038,7,0.07,Real
1039,8,0.082,Real
1040,9,0.149,Real
1041,10,0.165,Real
1042,11,0.237,Real
1043,12,0.139,Real
1044,13,0.203,Real
1045,14,0.181,Real
1046,15,0.821,Real
1047,16,0.147,Real
1048,17,0.214,Real
1049,18,0.297,Real
1050,19,0.278,Real
1051,20,0.307,Real
1052,21,0.259,Real
1053,22,0.248,Real
1054,23,0.353,Real
1055,24,0.426,Real
1056,1,0.335,Real
1057,2,0.084,Real
1058,3,0.074,Real
1059,4,0.074,Real
1060,5,0.074,Real
1061,6,0.073,Real
1062,7,0.072,Real
1063,8,0.072,Real
1064,9,0.164,Real
1065,10,0.156,Real
1066,11,0.248,Real
1067,12,0.161,Real
1068,13,0.173,Real
1069,14,0.214,Real
1070,15,0.137,Real
1071,16,0.198,Real
1072,17,0.22,Real
1073,18,0.317,Real
1074,19,0.325,Real
1075,20,0.208,Real
1076,21,0.081,Real
1077,22,0.139,Real
1078,23,0.11,Real
1079,24,0.087,Real
1080,1,0.386,Real
1081,2,0.106,Real
1082,3,0.489,Real
1083,4,0.077,Real
1084,5,0.094,Real
1085,6,0.103,Real
1086,7,0.203,Real
1087,8,0.345,Real
1088,9,0.163,Real
1089,10,0.156,Real
1090,11,0.233,Real
1091,12,0.206,Real
1092,13,0.194,Real
1093,14,0.225,Real
1094,15,0.154,Real
1095,16,0.192,Real
1096,17,0.322,Real
1097,18,0.333,Real
1098,19,0.262,Real
1099,20,0.219,Real
1100,21,0.097,Real
1101,22,0.085,Real
1102,23,0.083,Real
1103,24,0.075,Real
1104,1,0.074,Real
1105,2,0.073,Real
1106,3,0.077,Real
1107,4,0.078,Real
1108,5,0.071,Real
1109,6,0.077,Real
1110,7,0.073,Real
1111,8,0.069,Real
1112,9,0.077,Real
1113,10,0.072,Real
1114,11,0.07,Real
1115,12,0.079,Real
1116,13,0.068,Real
1117,14,0.077,Real
1118,15,0.069,Real
1119,16,0.073,Real
1120,17,0.074,Real
1121,18,0.074,Real
1122,19,0.074,Real
1123,20,0.073,Real
1124,21,0.073,Real
1125,22,0.073,Real
1126,23,0.073,Real
1127,24,0.073,Real
1128,1,0.073,Real
1129,2,0.07,Real
1130,3,0.139,Real
1131,4,0.068,Real
1132,5,0.076,Real
1133,6,0.069,Real
1134,7,0.078,Real
1135,8,0.076,Real
1136,9,0.07,Real
1137,10,0.067,Real
1138,11,0.076,Real
1139,12,0.068,Real
1140,13,0.072,Real
1141,14,0.072,Real
1142,15,0.071,Real
1143,16,0.072,Real
1144,17,0.071,Real
1145,18,0.072,Real
1146,19,0.072,Real
1147,20,0.104,Real
1148,21,0.081,Real
1149,22,0.066,Real
1150,23,0.083,Real
1151,24,0.167,Real
1152,1,0.122,Real
1153,2,0.07,Real
1154,3,0.075,Real
1155,4,0.083,Real
1156,5,0.064,Real
1157,6,0.066,Real
1158,7,0.08,Real
1159,8,0.077,Real
1160,9,0.143,Real
1161,10,0.271,Real
1162,11,0.187,Real
1163,12,0.199,Real
1164,13,0.169,Real
1165,14,0.308,Real
1166,15,0.182,Real
1167,16,0.18,Real
1168,17,0.196,Real
1169,18,0.171,Real
1170,19,0.313,Real
1171,20,0.269,Real
1172,21,0.224,Real
1173,22,0.219,Real
1174,23,0.846,Real
1175,24,0.213,Real
1176,1,0.118,Real
1177,2,0.075,Real
1178,3,0.065,Real
1179,4,0.077,Real
1180,5,0.064,Real
1181,6,0.078,Real
1182,7,0.074,Real
1183,8,0.077,Real
1184,9,0.145,Real
1185,10,0.154,Real
1186,11,0.182,Real
1187,12,0.242,Real
1188,13,0.154,Real
1189,14,0.331,Real
1190,15,0.189,Real
1191,16,0.208,Real
1192,17,0.18,Real
1193,18,0.251,Real
1194,19,0.226,Real
1195,20,0.106,Real
1196,21,0.08,Real
1197,22,0.104,Real
1198,23,1.457,Real
1199,24,0.269,Real
1200,1,0.471,Real
1201,2,0.14,Real
1202,3,0.521,Real
1203,4,0.1,Real
1204,5,0.108,Real
1205,6,0.091,Real
1206,7,0.12,Real
1207,8,0.18,Real
1208,9,0.069,Real
1209,10,0.082,Real
1210,11,0.077,Real
1211,12,0.078,Real
1212,13,0.073,Real
1213,14,0.067,Real
1214,15,0.077,Real
1215,16,0.078,Real
1216,17,0.067,Real
1217,18,0.083,Real
1218,19,0.081,Real
1219,20,0.067,Real
1220,21,0.067,Real
1221,22,0.143,Real
1222,23,0.285,Real
1223,24,0.283,Real
1224,1,0.142,Real
1225,2,0.124,Real
1226,3,0.119,Real
1227,4,0.096,Real
1228,5,0.113,Real
1229,6,0.106,Real
1230,7,0.111,Real
1231,8,0.102,Real
1232,9,0.181,Real
1233,10,0.087,Real
1234,11,0.214,Real
1235,12,0.184,Real
1236,13,0.182,Real
1237,14,0.193,Real
1238,15,0.191,Real
1239,16,0.184,Real
1240,17,0.193,Real
1241,18,0.388,Real
1242,19,0.369,Real
1243,20,0.352,Real
1244,21,0.332,Real
